nome,class,país,ano,lucro,custo,vitórias,indicações,nota_media,total_votos,filme_categoria
Vingadores: Ultimato,12,EUA,2019,2799439100,356000000,70,133,8.331,1265500,Melhores
Viva - A Vida é uma Festa,Livre,EUA,2017,814337054,175000000,111,41,8.398,590900,Melhores
WALL·E,Livre,EUA,2008,521320168,180000000,96,95,8.359,1201400,Melhores
Whiplash: Em Busca da Perfeição,12,EUA,2014,49449489,3300000,98,144,8.452,989400,Melhores
Your Name,Livre,Japão,2016,382238191,2331000,17,27,8.455,320372,Melhores
À Espera de um Milagre,18,EUA,1999,286801374,60000000,15,37,8.568000000000001,1408000,Melhores
Crossroads: Amigas para Sempre,Livre,EUA,2002,61733108,12000000,2,15,3.8,44000,Piores
Os Flintstones em Viva Rock Vegas,Livre,EUA,2000,59468275,83000000,1,11,3.7,26000,Piores
Os Vingadores,10,EUA,1998,23384939,60000000,4,17,3.8,46000,Piores
Em Nome do Rei,14,Alemanha,2007,13097915,60000000,4,5,3.8,51000,Piores
O Guru do Amor,14,Reino Unido,2008,40877556,62000000,5,8,3.8,55000,Piores
As Aventuras de Sharkboy e Lavagirl,Livre,EUA,2005,71992655,50000000,1,12,3.7,43000,Piores
Eu Sei Quem me Matou,16,EUA,2007,9669758,12000000,8,4,3.6,31000,Piores
Piranha 2,16,Japão,2012,8518634,5000000,3,5,3.8,46000,Piores
O Mundo das Spice Girls,Livre,Reino Unido,1997,29345482,25000000,3,11,3.7,38000,Piores
O Sacrifício,14,EUA,2006,38806015,40000000,2,7,3.8,72000,Piores
A Névoa,14,EUA,2005,46201432,18000000,2,0,3.7,39000,Piores
Dotado para Brilhar,Livre,EUA,2011,2530394,10000000,1,6,3.3,13000,Piores
Mac - O Extraterrestre,Livre,EUA,1988,6424112,13000000,2,6,3.4,15000,Piores
D-War: Guerra dos Dragões,14,Coreia do Sul,2007,75108817,32000000,2,3,3.5,25000,Piores
Dungeons & Dragons - A Aventura Começa Agora,12,EUA,2000,33978694,45000000,0,11,3.6,36000,Piores
Gol! III: Assumindo o Mundial,14,Alemanha,2009,7641,10000000,0,0,3.2,13000,Piores
Superman IV: Em Busca da Paz,Livre,Reino Unido,1987,30281020,17000000,3,6,3.7,53000,Piores
Tubarão 3,14,EUA,1983,87987055,20500000,0,5,3.7,49000,Piores
Natal Sangrento,14,EUA,2019,18529730,5000000,0,0,3.5,19000,Piores
Pequenos Espiões 4,10,EUA,2011,85564310,27000000,0,6,3.5,29000,Piores
Batman & Robin,Livre,EUA,1997,238259753,125000000,10,22,3.8,269000,Piores
Cinquenta Tons de Preto,14,EUA,2016,22227514,5000000,2,4,3.5,23000,Piores
Barb Wire: A Justiceira,14,EUA,1996,3793614,9000000,1,7,3.5,31000,Piores
Mortal Kombat: A Aniquilação,14,EUA,1997,51376861,30000000,0,0,3.6,58000,Piores
Medo Ponto com Br,16,Reino Unido,2002,18902015,40000000,3,3,3.4,23000,Piores
Baaghi 3,Não Classificado,Índia,2020,16726510,6598097,0,5,2.2,14000,Piores
Far Cry: Fugindo do Inferno,16,Alemanha,2008,783501,30000000,0,0,3.2,15000,Piores
